MNG dose (mcg by ml),cell N,nucleus N,Area (px),Perimeter (px),Circularity,Height (px),Width (px),Gray Value (min),Gray Value (max),Gray Value (Mean),Gray Value (Median),Integrated Density
3,28,1,852,114.426407,0.817706,34,32,14,65,21.029343,20,17917
3,28,2,903,116.669048,0.833655,38,30,13,76,21.825028,20,19708
3,29,1,686,98.083261,0.896075,29,30,17,90,23.483965,21,16110
3,29,2,588,89.59798,0.92043,26,27,17,47,20.957483,20,12323
3,30,1,654,96.961941,0.874148,30,28,16,61,23.545872,21,15399
3,30,2,789,104.911688,0.900822,31,32,18,61,25,23,19725
3,31,1,1216,137.740115,0.80542,36,44,15,84,28.087993,26,34155
3,31,2,1298,138.568542,0.849484,40,41,17,65,26.225732,26,34041
3,32,1,753,107.305087,0.821796,28,34,16,78,21.978752,20,16550
3,32,2,799,110.669048,0.819793,30,35,16,51,20.922403,19,16717
3,33,1,533,88.769553,0.849981,26,26,19,59,26.54409,25,14148
3,33,2,545,89.941125,0.846622,28,24,13,73,26.53578,24,14462
3,34,1,839,110.911688,0.857072,35,31,17,60,24.771156,23,20783
3,34,2,867,110.961941,0.884873,33,32,15,71,24.745098,23,21454
3,35,1,1082,128.083261,0.828805,38,36,16,65,27.61183,27,29876
3,35,2,1040,128.275649,0.794245,40,36,18,81,26.732692,25,27802
3,36,1,1099,124.225397,0.894925,41,34,14,56,20.100091,19,22090
3,36,2,1196,131.39697,0.870503,39,39,16,47,20.15301,19,24103
3,37,1,841,111.890873,0.844144,32,32,20,64,29.293698,28,24636
3,37,2,917,114.911688,0.872671,34,34,23,87,32.521265,30,29822
3,38,1,821,111.497475,0.829895,34,32,22,63,29.015834,28,23822
3,38,2,754,105.547727,0.850518,34,28,19,86,28.578249,27,21548
3,39,1,731,102.476659,0.874737,31,28,20,51,29.269494,28,21396
3,39,2,911,114.961941,0.866204,31,36,22,95,32.279912,31,29407
3,40,1,1144,131.790368,0.827692,36,40,20,83,31.857517,30,36445
3,40,2,1192,132.275649,0.856104,38,40,22,76,31.939597,30,38072
3,41,1,927,117.547727,0.843065,34,34,19,80,26.529666,24,24593
3,41,2,866,111.59798,0.873806,32,32,17,89,24.926097,23,21586
3,42,1,730,103.305087,0.859586,30,30,24,94,32.010959,30,23368
3,42,2,722,103.204581,0.851823,32,30,23,94,32.581717,30,23524
3,43,1,796,109.062446,0.840954,30,32,18,50,25.324121,25,20158
3,43,2,855,112.669048,0.846383,34,32,18,63,25.804678,25,22063
3,44,1,891,116.376154,0.826722,32,36,19,76,28.649832,26,25527
